Name,City,State,Zip,Bank,BankState,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,LowDoc,Sector,ApprovalMonth,IsFranchise,clean_DisbursementGross,MIS_Status,clean_ChgOffPrinGr,clean_GrAppv,clean_SBA_Appv
NEWPORT GALLERIES,LONDONDERRY,NH,3053,CITIZENS BANK NATL ASSOC,RI,84,5,0,0,5,1,1,0,44,Oct,0,75000.0,1,0.0,75000.0,37500.0
EARLY LEARNING CTR. OF MILFORD,MILFORD,NH,3055,"OCEAN BANK, A DIVISION OF",NH,48,2,1,0,0,0,0,1,62,May,0,20000.0,1,0.0,20000.0,16000.0
Bodyfirst Personal Fitness Sol,SALEM,NH,3079,BANK OF AMERICA NATL ASSOC,NC,27,1,1,0,1,2,0,0,71,Mar,0,25000.0,0,14112.0,25000.0,12500.0
MARIA'S & PETER'S VARIETY,SALEM,NH,3079,PENTUCKET BANK,MA,60,4,0,0,0,1,0,0,44,Dec,0,30000.0,1,0.0,30000.0,25500.0
ENDLESS OPPORTUNITIES CHILD,SALEM,NH,3079,GRANITE ST. ECONOMIC DEVEL COR,NH,240,13,0,3,10,0,0,0,62,Jul,0,80000.0,1,0.0,80000.0,80000.0
CORY MUSTAPHA,WINDHAM,NH,3087,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,0,0,81,Oct,0,20000.0,1,0.0,20000.0,10000.0
"TM CELLULAR & PAGING, INC.",WINDHAM,NH,3087,GRANITE ST. ECONOMIC DEVEL COR,NH,240,15,0,7,8,0,0,0,0,Jun,0,245000.0,1,0.0,245000.0,245000.0
TORNADO MOTORSPORTS LLC,MANCHESTER,NH,3101,BANK OF AMERICA NATL ASSOC,RI,48,1,0,0,1,1,1,0,44,Jun,0,41117.0,1,0.0,25000.0,12500.0
LAK DRYWALL AND CONSTRUCTION,MANCHESTER,NH,3101,CITIZENS BANK NATL ASSOC,RI,9,1,0,1,2,1,1,0,23,Nov,0,21000.0,0,19978.0,20000.0,10000.0
JAKE'S BICYCLE SHOP,MANCHESTER,NH,3102,ST. MARY'S BANK,NH,240,1,1,0,0,0,0,0,44,Nov,0,66600.0,1,0.0,66600.0,53280.0
ALL DOGS INC.,MANCHESTER,NH,3103,GRANITE ST. ECONOMIC DEVEL COR,NH,240,45,0,10,35,1,0,0,81,Mar,0,885000.0,1,0.0,889000.0,889000.0
"PHCO, Inc. dba Paul Davis Rest",Manchester,NH,3109,KEYBANK NATIONAL ASSOCIATION,OH,84,7,1,0,7,1,1,0,23,Jun,0,349698.0,1,0.0,150000.0,75000.0
"SUNDEEN LUMBER CO., INC.",MANCHESTER,NH,3109,AURORA BANK FSB,CO,240,33,0,0,0,0,0,0,42,Apr,0,1400000.0,1,0.0,1400000.0,744000.0
NORMS AUTOBODY,BELMONT,NH,3220,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,2,1,1,0,81,Dec,0,58999.0,1,0.0,35000.0,17500.0
VILLAGE IMAGE,BELMONT,NH,3220,BANK OF NEW HAMPSHIRE,NH,240,5,0,0,0,0,0,0,71,May,0,109000.0,1,0.0,109000.0,98100.0
JOHN ABBOTT ENTERPRISES INC,CENTER BARNSTEAD,NH,3225,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,2,1,1,0,23,Aug,0,224735.0,1,0.0,50000.0,25000.0
"EXCALIBUR SHELVING SYST., INC.",CONTOOCOOK,NH,3229,CITIZENS BANK NATL ASSOC,NH,120,35,0,0,0,0,0,0,0,Jul,0,1100000.0,1,0.0,1100000.0,726000.0
"NORTHEASTERN FORKLIFT, INC.",EPSOM,NH,3234,GRANITE ST. ECONOMIC DEVEL COR,NH,240,9,0,3,6,2,0,0,42,Oct,0,92000.0,1,0.0,104000.0,104000.0
PEMI VALLEY EXCURSIONS LLC,LINCOLN,NH,3251,CITIZENS BANK NATL ASSOC,MA,72,4,0,0,4,1,0,0,48,Sep,0,30065.0,1,0.0,30000.0,15000.0
ROD LADMAN'S WINDOW DESIGNS,MEREDITH,NH,3253,MEREDITH VILLAGE SAVINGS BANK,NH,300,1,0,0,0,0,0,0,0,May,0,175000.0,1,0.0,175000.0,131250.0
MOBBS SERVICE PLUS,CHICHESTER,NH,3258,CITIZENS BANK NATL ASSOC,RI,24,1,0,0,1,1,1,0,81,Oct,0,41726.0,0,22138.0,25000.0,12500.0
FOURNIER FUNERAL SERVICES,NORTH WOODSTOCK,NH,3262,CITIZENS BANK NATL ASSOC,NH,60,1,0,0,1,1,1,0,0,Aug,0,12585.0,1,0.0,10000.0,5000.0
MAIL BOXES ETC #3882,PLYMOUTH (CENSUS NAME FOR PLYM,NH,3264,CITIZENS BANK NATL ASSOC,NH,55,2,0,0,2,1,1,0,48,Apr,1,35000.0,0,34964.0,35000.0,17500.0
"MORGAN RECREATIONAL SUPPLY,INC",PEMBROKE,NH,3275,GRANITE ST. ECONOMIC DEVEL COR,NH,120,25,0,3,22,0,0,0,42,Mar,0,97000.0,1,0.0,97000.0,97000.0
Our Family Tree Restaurant LLC,TILTON,NH,3276,NORTHWAY BANK,NH,84,7,0,1,7,1,1,0,72,Sep,0,54501.0,1,0.0,30000.0,15000.0
"CAT 'N FIDDLE, INC.",CONCORD,NH,3301,CITIZENS BANK NATL ASSOC,NH,180,42,0,0,0,0,0,0,0,Apr,0,400000.0,1,0.0,400000.0,340000.0
GIBSON'S BOOK STORE,CONCORD,NH,3301,"TD BANK, NATIONAL ASSOCIATION",NH,120,4,0,0,0,0,0,1,44,Dec,0,75000.0,1,0.0,75000.0,67500.0
BAAZ HAIR STUDIO,CONCORD,NH,3301,"TD BANK, NATIONAL ASSOCIATION",DE,240,5,0,0,0,0,0,0,0,May,0,100000.0,1,0.0,100000.0,90000.0
BUTLER EMPLOYMENT AGENCY,KEENE,NH,3431,CITIZENS BANK NATL ASSOC,MA,48,60,0,0,60,1,1,0,56,Jan,0,9971.0,0,4460.0,40000.0,20000.0
BOWLER JONES PAGE,KEENE,NH,3431,CITIZENS BANK NATL ASSOC,MA,84,2,0,1,3,2,1,0,54,Dec,0,19012.0,1,0.0,5000.0,2500.0
ANDREA HANTZ DBA PEARLY POND P,RINDGE,NH,3461,"TD BANK, NATIONAL ASSOCIATION",DE,36,1,1,0,0,1,0,0,81,Aug,0,11000.0,1,0.0,11000.0,5500.0
MOHAWK MANOR,COLEBROOK,NH,3576,FIRST COLEBROOK BANK,NH,297,3,1,0,0,0,0,1,0,Mar,0,62900.0,1,0.0,62900.0,56610.0
"STEEL ELEMENTS, INC.",GORHAM,NH,3581,PASSUMPSIC SAVINGS BANK,VT,12,35,0,0,0,0,0,0,31,Nov,0,800000.0,1,0.0,800000.0,720000.0
TRINITY STAINED GLASS & WINDMI,WARWICK (RR NAME APPONAUG),RI,3738,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,2,1,0,44,Jun,0,20100.0,1,0.0,20000.0,10000.0
INTERNATIONAL CONSTRUCTION EQU,GRANTHAM,NH,3753,BRANCH BK. & TR CO,NC,12,4,0,0,4,2,1,0,42,Nov,0,1500000.0,1,0.0,1500000.0,1350000.0
MIA,HANOVER,NH,3755,"LAKE SUNAPEE BANK, FSB",NH,84,6,0,0,0,0,0,0,44,May,0,195000.0,1,0.0,195000.0,165750.0
"ANGELA J SANTAVICCA, DDS",HANOVER,NH,3755,PEOPLE'S UNITED BANK,CT,84,7,0,0,0,2,0,0,62,Apr,0,275000.0,1,0.0,275000.0,206250.0
CRAWFORD NOTCH GENERAL STORE,HARTS LOCATION,NH,3812,BANK OF AMERICA NATL ASSOC,CT,240,1,0,0,0,0,0,0,72,May,0,130000.0,1,0.0,130000.0,109200.0
"CHUCK ROAST EQUIPMENT, INC.",CONWAY,NH,3818,NORTHWAY BANK,NH,240,38,0,0,0,0,0,0,0,Oct,0,280000.0,1,0.0,280000.0,224000.0
"CHUCK ROAST EQUIPMENT, INC.",CONWAY,NH,3818,NORTHWAY BANK,NH,5,40,0,0,0,0,0,0,0,Aug,0,50000.0,1,0.0,50000.0,42500.0
NORTH COUNTRY TOOL & SUPPLY OF,DOVER,NH,3820,CITIZENS BANK NATL ASSOC,NH,84,1,0,0,1,1,1,0,42,May,0,50643.0,1,0.0,50000.0,25000.0
"RED PARKA PUB, INC.",GLEN,NH,3838,NORTHWAY BANK,NH,300,66,0,0,0,0,0,0,0,Feb,0,630835.0,1,0.0,630900.0,473175.0
SCHOOL HOUSE SUPPLY INC,HAMPSTEAD,NH,3841,CITIZENS BANK NATL ASSOC,NH,56,1,0,0,1,1,1,0,48,Nov,0,75000.0,0,75000.0,75000.0,37500.0
"RAGGED MOUNTAIN EQUIPMENT, INC",INTERVALE,NH,3845,"TD BANK, NATIONAL ASSOCIATION",DE,9,5,0,0,0,0,0,0,0,Apr,0,148300.0,1,0.0,148300.0,126055.0
QUALITY MACHINE INC,PLAISTOW,NH,3865,CITIZENS BANK NATL ASSOC,RI,83,18,0,0,18,2,1,0,31,Jan,0,50000.0,1,0.0,50000.0,25000.0
INTERCONNECT COMMUNICATIONS LL,ROCHESTER,NH,3867,CITIZENS BANK NATL ASSOC,RI,84,2,0,2,2,1,1,0,81,Feb,0,126931.0,1,0.0,45000.0,22500.0
SPENCER TRUCKING,SOMERSWORTH,NH,3878,CITIZENS BANK NATL ASSOC,RI,8,1,0,0,1,1,1,0,48,Jan,0,22533.0,0,5000.0,5000.0,2500.0
P.H. Whyte Welding & Fabricati,TAMWORTH,NH,3886,NORTHWAY BANK,NH,84,1,0,0,1,2,1,0,31,Dec,0,113418.0,1,0.0,50000.0,25000.0
"BAGEL BASKET, INC.",YORK,ME,3909,KENNEBUNK SAVINGS BANK,ME,240,5,0,0,0,0,0,0,0,Jan,0,190000.0,1,0.0,190000.0,142500.0
"Risk Analytics & Management, L",YORK,ME,3909,KENNEBUNK SAVINGS BANK,ME,84,2,1,0,2,2,1,0,54,Oct,0,12000.0,1,0.0,10000.0,5000.0
"DEE QUALITY FOUNDATIONS, INC.",BIDDEFORD,ME,4005,BANGOR SAVINGS BANK,ME,84,7,0,0,0,0,0,1,0,May,0,65000.0,1,0.0,65000.0,58500.0
"CAPRIO, TERESA A., D.O.",KENNEBUNK,ME,4043,BANGOR SAVINGS BANK,ME,63,1,1,0,0,2,0,0,62,Oct,0,20000.0,1,0.0,20000.0,16000.0
"LITCHFIELD, WILLIAM F.",WELLS,ME,4090,"BUSINESS LOAN CENTER, LLC",SC,240,50,0,0,0,2,0,0,72,May,0,715000.0,1,0.0,715000.0,536250.0
"GERVAIS ENTERPRISES, INC.",PORTLAND,ME,4102,KEYBANK NATIONAL ASSOCIATION,OH,48,2,1,0,0,0,0,0,0,Jul,0,48000.0,1,0.0,48000.0,24000.0
P.B.H.C. Inc.,SOUTH PARIS,ME,4281,"TD BANK, NATIONAL ASSOCIATION",DE,84,6,0,0,0,2,1,0,71,May,0,35000.0,1,0.0,35000.0,17500.0
"H G & M REALTY, A PARTNERSHIP",FARMINGDALE,ME,4345,EASTERN MAINE DEVEL CORP,ME,240,40,1,0,0,0,0,0,0,Nov,0,252000.0,1,0.0,252000.0,252000.0
Bangor Truck Equipment,BANGOR,ME,4401,BANGOR SAVINGS BANK,ME,12,3,1,11,11,1,1,0,42,May,0,171884.0,1,0.0,75000.0,37500.0
EXECUTIVE TRAVEL SERVICES DBA,BANGOR,ME,4401,CAPITAL ONE NATL ASSOC,VA,90,7,0,0,7,1,0,0,56,Jun,0,35000.0,1,0.0,35000.0,17500.0
LINNEHAN FORD HDT & MAINE-WIDE,BANGOR,ME,4401,KEYBANK NATIONAL ASSOCIATION,ME,120,40,0,0,0,0,0,0,44,Aug,1,775000.0,1,0.0,775000.0,658750.0
TOWN & COUNTRY REALTORS,BANGOR,ME,4401,"MERRILL BANK, A DIVISION OF",ME,84,32,0,0,0,0,0,0,0,Jan,0,80000.0,1,0.0,80000.0,64000.0
"SPAIN, RANDOLPH, JR.",BREWER,ME,4412,EASTERN MAINE DEVEL CORP,ME,180,5,0,0,0,0,0,0,0,Jul,0,117000.0,1,0.0,117000.0,117000.0
DALE W LEAUITT,ETNA,ME,4419,"MERRILL BANK, A DIVISION OF",ME,12,3,0,0,3,2,1,0,23,May,0,25000.0,1,0.0,25000.0,12500.0
PATRCIK DUGGAN DBA IMPACT PRIN,CUTLER,ME,4626,CITIZENS BANK NATL ASSOC,RI,84,3,0,0,3,1,0,0,31,Dec,0,37000.0,1,0.0,37000.0,18500.0
"BOES, RONALD J & BARBARA A",RAYMOND,ME,4701,KEYBANK NATIONAL ASSOCIATION,ME,240,17,0,0,0,0,0,0,71,Aug,0,280000.0,1,0.0,280000.0,174134.0
"t.a. service center, inc.",PRESQUE ISLE,ME,4769,"TD BANK, NATIONAL ASSOCIATION",DE,84,4,0,0,4,2,1,0,81,Nov,0,25000.0,1,0.0,25000.0,22500.0
FLO'S WATERVILLE FLOWERCART,WATERVILLE,ME,4901,BANK OF AMERICA NATL ASSOC,NC,48,30,0,2,32,2,1,0,44,Mar,0,18250.0,1,0.0,10000.0,5000.0
"HERITAGE PUBLISHING, INC.",FARMINGTON,ME,4938,SKOWHEGAN SAVINGS BANK,ME,120,7,0,0,0,0,0,1,0,Jun,0,33300.0,1,0.0,33300.0,26640.0
CHOCOLATE GRILLE,SEARSPORT,ME,4974,EASTERN MAINE DEVEL CORP,ME,240,22,1,22,0,2,0,0,72,Jan,0,192000.0,1,0.0,192000.0,192000.0
AMBUSCO INCORPORATED,HARTFORD,VT,5047,CITIZENS BANK NATL ASSOC,RI,84,15,0,0,15,1,0,0,11,Sep,0,10000.0,1,0.0,10000.0,5000.0
ZAMBON BROTHERS LOGGING LLC,NEWBURY,CA,5051,FIRST COLEBROOK BANK,NH,36,3,0,0,3,2,0,0,11,Jul,0,20000.0,1,0.0,20000.0,10000.0
N.T. FERRO JEWELERS,WOODSTOCK,VT,5091,LEDYARD NATIONAL BANK,VT,84,8,0,0,0,0,0,0,44,Jul,0,153500.0,1,0.0,153500.0,115125.0
NORTHWESTERN MUTUAL,BELLOWS FALLLS,VT,5101,CHITTENDEN TR COMPANY A DIVISI,VT,84,2,0,0,0,0,0,0,0,Feb,0,37000.0,1,0.0,37000.0,29600.0
BUFFUM'S SUPERMARKET,BELLOWS FALLS,VT,5101,CHITTENDEN TR COMPANY A DIVISI,VT,216,50,0,0,0,0,0,0,0,Sep,0,948000.0,1,0.0,948000.0,673080.0
FALZO'S VILLAGE SUNOCO,BELLOWS FALLS,VT,5101,SAVINGS BANK OF WALPOLE,NH,84,6,0,0,0,0,0,1,0,May,0,60000.0,1,0.0,60000.0,54000.0
Willow Farm Inc,Chester,VT,5143,"TD BANK, NATIONAL ASSOCIATION",DE,240,4,0,0,4,2,0,0,81,Nov,0,125000.0,1,0.0,125000.0,62500.0
MANCHESTER SQUARE GRILL,MANCHESTER,VT,5255,MERCHANTS BANK,VT,60,2,1,0,0,0,0,0,0,Jul,0,15000.0,1,0.0,15000.0,12000.0
Barry Poulter,WEST DOVER,VT,5356,BERKSHIRE BANK,VT,240,2,0,0,2,2,0,0,72,Jul,0,75000.0,1,0.0,75000.0,37500.0
"BURLINGTON MARBLE & GRANITE, I",BURLINGTON,VT,5401,CITIZENS BANK NATL ASSOC,RI,84,4,0,0,4,1,1,0,31,Sep,0,5600.0,1,0.0,5000.0,2500.0
CACTUS PETE'S OF VERMONT INC,SOUTH BURLINGTON,VT,5401,COMMERCE BANK & TRUST COMPANY,MA,64,70,1,0,0,0,0,0,0,Aug,0,439856.0,1,0.0,450000.0,360000.0
"FOURNIER LANDSCAPING, INC.",SOUTH BURLINGTON,VT,5403,MERCHANTS BANK,VT,271,3,0,0,0,0,0,0,0,Oct,0,160000.0,1,0.0,160000.0,120000.0
"ESSEX OPTICAL, INC.",ESSEX JUNCTION,VT,5452,"TD BANK, NATIONAL ASSOCIATION",VT,46,3,1,0,0,0,0,0,0,Aug,0,60000.0,1,0.0,60000.0,54000.0
Energy Smart Building Inc.,Hinesburg,VT,5461,NATIONAL BANK OF MIDDLEBURY,VT,84,20,0,5,20,1,0,0,23,Jan,0,200000.0,1,0.0,200000.0,180000.0
VT WASTE AND RECYCLING MANAGE,VERGENNES,VT,5491,MERCHANTS BANK,VT,84,20,0,0,0,0,0,0,0,Jul,0,375021.0,1,0.0,375021.0,307517.0
"G.K. Bisson Trucking, LLC",Barre,VT,5641,PEOPLE'S UNITED BANK,CT,36,5,0,0,5,2,0,0,48,Feb,0,72000.0,1,0.0,72000.0,36000.0
"CHERRY HILL CANNERY, INC",BARRE,VT,5641,NORTHFIELD SAVINGS BANK,VT,9,14,0,0,0,0,0,0,0,Sep,0,63000.0,1,0.0,63000.0,53550.0
Knotty Pine Sports Bar & Grill,MORRISVILLE,VT,5661,PEOPLES TR CO OF ST. ALBANS,VT,72,0,1,8,8,2,0,0,72,Aug,0,10000.0,1,0.0,10000.0,5000.0
NEW ENGLAND ERGONOMICS,FAYSTON,VT,5673,CHITTENDEN TR COMPANY A DIVISI,VT,60,1,1,0,0,0,0,0,0,Jul,0,17500.0,1,0.0,17500.0,14000.0
PEPPER'S LODGE,WARREN,VT,5674,"LAKE SUNAPEE BANK, FSB",VT,180,3,0,0,0,0,0,0,0,Jun,0,158000.0,1,0.0,175000.0,131250.0
POWDERHOUNDS RESTAURANT,KILLINGTON,VT,5751,CITIZENS BANK NATL ASSOC,VT,240,30,0,0,0,0,0,0,0,May,0,239000.0,1,0.0,239000.0,179250.0
COMICS & COLLECTIBLES,MIDDLEBURY,VT,5753,NATIONAL BANK OF MIDDLEBURY,VT,60,2,1,0,0,0,0,0,44,Jun,0,21000.0,1,0.0,21000.0,18900.0
BARRETT'S SMALL ENGINE REPAIR,MIDDLETOWN SPRINGS,VT,5757,CITIZENS BANK NATL ASSOC,RI,36,1,0,0,1,1,0,0,81,Sep,0,4000.0,1,0.0,4000.0,2000.0
"Vermont Web Programmers, LLC",Shoreham,VT,5770,KEYBANK NATIONAL ASSOCIATION,OH,72,1,1,4,1,1,1,0,54,Apr,0,34937.0,1,0.0,25000.0,12500.0
"NEW YORK, NEW YORK LLC.",AVON,CT,6001,WEBSTER BANK NATL ASSOC,CT,60,1,1,0,0,0,0,0,0,May,0,245000.0,1,0.0,245000.0,183750.0
Mo's Mobile Pet Spa LLC,BRISTOL,CT,6010,BANK OF AMERICA NATL ASSOC,NC,5,4,0,0,4,1,1,0,81,Sep,0,20158.0,0,1540.0,10000.0,5000.0
JORDAN AND ELAINE PERLROTH,EAST GRANBY,CT,6026,UPS CAPITAL BUSINESS CREDIT,CT,300,16,0,0,0,0,0,0,0,Aug,0,825000.0,1,0.0,825000.0,577500.0
SULLIVAN TREE & LANDSCAPE LLC,GLASTONBURY,CT,6033,BANK OF AMERICA NATL ASSOC,RI,36,1,0,0,1,1,1,0,56,Feb,0,36500.0,1,0.0,36500.0,18250.0
HILLSIDE LANDSCAPING,KENSINGTON,CT,6037,SANTANDER BANK NATL ASSOC,MA,60,8,0,0,0,0,0,1,0,Jun,0,15000.0,1,0.0,15000.0,12000.0
"CABLE CONSTRUCTION COMPANY,INC",MANCHESTER,CT,6040,FIRST NIAGARA BANK NATL ASSOC,CT,120,14,0,0,0,0,0,0,0,Aug,0,500000.0,1,0.0,500000.0,375000.0
AMERICAN HARDWOOD FLOORS,NEW BRITAIN,CT,6053,BANK OF AMERICA NATL ASSOC,RI,7,1,0,2,3,1,1,0,23,Nov,0,103763.0,0,49000.0,50000.0,25000.0
ANDREA'S MECHANICAL SERVICES,NORTH GRANBY,CT,6060,BANK OF AMERICA NATL ASSOC,RI,70,2,0,1,2,1,1,0,31,Nov,0,91595.0,1,0.0,42000.0,21000.0
"Goosebury Junction, LLC.",Plainville,CT,6062,WEBSTER BANK NATL ASSOC,CT,60,2,0,1,2,1,1,0,44,Mar,0,48477.0,1,0.0,20000.0,10000.0
PROSPECT FOREIGN CAR CENTER,WEST HARTFORD,CT,6067,WEBSTER BANK NATL ASSOC,CT,120,5,0,0,0,0,0,0,81,Jul,0,250000.0,1,0.0,250000.0,187500.0
"BORDONARO'S PHARMACY, INC.",PORTLAND,CT,6085,WEBSTER BANK NATL ASSOC,CT,60,10,0,0,0,0,0,0,44,Jun,0,240000.0,1,0.0,240000.0,180000.0
PLAY IT AGAIN SPORTS,WEST HARTFORD,CT,6107,BANK OF WESTERN MASSACHUSETTS,MA,48,2,1,0,0,0,0,0,44,Oct,1,25000.0,1,0.0,25000.0,22500.0
"PANDORA, INC.",WEST HARTFORD,CT,6117,BANK OF AMERICA NATL ASSOC,NC,38,1,1,0,0,0,0,0,0,Nov,0,350000.0,0,291837.0,350000.0,262500.0
THE RAIN DESERT,DANIELSON,CT,6239,SAVINGS INST. BK & TR CO,CT,182,1,1,0,0,1,0,0,72,Dec,0,100000.0,1,0.0,100000.0,80000.0
CITY BEVERAGE INC,DANIELSON,CT,6239,WEBSTER BANK NATL ASSOC,CT,96,10,0,0,0,0,0,0,42,Jul,0,600000.0,1,0.0,600000.0,510000.0
"DSM, INC.",DANIELSON,CT,6239,INDEPENDENCE BANK,RI,120,16,0,0,0,0,0,0,23,Jul,0,380000.0,1,0.0,380000.0,269800.0
"LAFRAMBOISE WELL DRILLING, INC",THOMPSON,CT,6277,INDEPENDENCE BANK,RI,120,51,0,0,0,2,0,0,23,Jun,0,1000000.0,1,0.0,1000000.0,750000.0
JENNETT CONSTRUCTION LLC,GROTON,CT,6340,BANK OF AMERICA NATL ASSOC,RI,48,1,0,6,7,1,1,0,23,May,0,208200.0,1,0.0,100000.0,50000.0
ERIC D SEAMANS DBA MILLTOWN WO,NORTH STONINGTON,CT,6359,CAPITAL ONE NATL ASSOC,VA,84,1,0,0,1,1,0,0,31,Mar,0,35000.0,1,0.0,35000.0,17500.0
THE GASPARINO AGENCY LLC,NORWICH,CT,6360,BANK OF AMERICA NATL ASSOC,RI,48,3,0,0,3,1,1,0,0,Jun,0,20000.0,1,0.0,20000.0,10000.0
JIM HOZNER WELDING & FABRICATI,OAKDALE,CT,6370,CITIZENS BANK NATL ASSOC,RI,60,4,0,0,4,1,0,0,23,Jan,0,88000.0,1,0.0,88000.0,44000.0
"Finkle & Sons Service Company,",Branford,CT,6405,WEBSTER BANK NATL ASSOC,CT,84,12,0,0,12,1,1,0,23,Dec,0,128080.0,1,0.0,100000.0,50000.0
LISOWSKI'S DELI,CROMWELL,CT,6416,WEBSTER BANK NATL ASSOC,CT,84,4,1,0,0,0,0,1,0,Jan,0,30000.0,1,0.0,30000.0,24000.0
M & A Transport LLC,GUILFORD,CT,6437,BANK OF AMERICA NATL ASSOC,RI,36,4,0,0,4,2,0,0,48,Feb,0,50000.0,1,0.0,50000.0,25000.0
JERRY'S PIZZA INC,GUILFORD (CENSUS NAME FOR GUIL,CT,6437,CITIZENS BANK NATL ASSOC,RI,84,5,0,0,5,1,1,0,72,Aug,0,95246.0,1,0.0,50000.0,25000.0
ADVANTAGE TRAVEL & CRUISE SHOP,MIDDLETOWN,CT,6457,WEBSTER BANK NATL ASSOC,CT,60,4,0,0,0,0,0,1,56,Jun,0,47610.0,1,0.0,47610.0,38088.0
"SCREEN TEK PRINTING COMPANY, I",NORTH HAVEN,CT,6473,QUINNIPIAC BK & TR CO,CT,180,5,0,3,5,1,0,0,31,Dec,0,232000.0,1,0.0,232000.0,174000.0
REGIN HVAC PRODUCTS INC,OXFORD (OXFORD CENTER),CT,6478,WELLS FARGO BANK NATL ASSOC,SD,84,2,0,0,2,2,1,0,31,Dec,0,76387.0,1,0.0,35000.0,17500.0
COLOR GRAPHIX & PROMOTIONS,SOUTHBURY,CT,6488,WELLS FARGO BANK NATL ASSOC,SD,84,5,0,0,0,0,0,1,0,Jun,0,55000.0,1,0.0,55000.0,49500.0
CUSP OF INTEGRITY DENTAL RESTO,WALLINGFORD,CT,6492,CITIZENS BANK NATL ASSOC,RI,84,3,0,1,4,1,1,0,31,Dec,0,25000.0,1,0.0,25000.0,12500.0
"LARIVERE ENTERPRISES, LLC",WESTBROOK,CT,6498,WEBSTER BANK NATL ASSOC,CT,300,6,0,0,0,0,0,0,42,Jun,0,470000.0,1,0.0,470000.0,352500.0
OPUS/AUDIO VIDEO INTERIORS INC,NEW HAVEN,CT,6511,CITIZENS BANK NATL ASSOC,CT,84,7,0,1,8,1,1,0,44,Sep,0,691748.0,1,0.0,145000.0,72500.0
"ASSOCIATED PACKAGING, INC.",NEW HAVEN,CT,6513,WEBSTER BANK NATL ASSOC,CT,60,130,0,0,0,0,0,0,0,Jun,0,100000.0,1,0.0,100000.0,75000.0
"WESTVILLE PIZZA, LLC",HAMDEN,CT,6514,CITIZENS BANK NATL ASSOC,RI,31,2,0,0,2,1,0,0,72,Mar,0,30000.0,0,25092.0,30000.0,15000.0
CHESTNUTT HILL WINES & SPIRITS,NEW HAVEN,CT,6515,FIRST NIAGARA BANK NATL ASSOC,CT,57,4,1,0,0,1,0,0,44,Sep,0,140000.0,0,45102.0,140000.0,119000.0
FERRIE ASPHALT PAVING COMPANY,WEST HAVEN,CT,6516,BANK OF AMERICA NATL ASSOC,RI,48,5,0,0,5,1,1,0,23,Dec,0,82415.0,1,0.0,40000.0,20000.0
"UNITED STAGING & RIGGING, LLC.",BRIDGEPORT,CT,6607,PEOPLE'S UNITED BANK,CT,96,21,0,0,0,1,0,0,53,Aug,0,400000.0,1,0.0,400000.0,300000.0
GIFT BASKET GALLERY INC,TRUMBULL,CT,6611,PEOPLE'S UNITED BANK,CT,84,10,0,0,0,0,0,1,44,May,0,76000.0,1,0.0,76000.0,60800.0
NUTMEG SPICE COMPANY LTD,MORRIS,CT,6763,THOMASTON SAVINGS BANK,CT,46,3,0,1,2,2,1,0,42,Jan,0,78500.0,1,0.0,50000.0,25000.0
Laundrey Nook LLC,DANBURY,CT,6810,SAVINGS BANK OF DANBURY,CT,63,0,0,1,0,1,0,0,81,May,0,32000.0,1,0.0,32000.0,16000.0
"CELEBRATIONS, INC",RIDGEFIELD,CT,6877,FAIRFIELD COUNTY BANK,CT,84,12,0,0,0,0,0,0,0,Dec,0,265000.0,1,0.0,265000.0,222017.0
DOMINICK A. PAGANO,WESTON,CT,6883,UPS CAPITAL BUSINESS CREDIT,CT,300,17,0,0,0,0,0,0,0,Apr,0,1000000.0,1,0.0,1000000.0,750000.0
Innovative Motorcycle Research,BLOOMFIELD,NJ,7003,BANK OF AMERICA NATL ASSOC,RI,36,2,0,0,0,1,0,0,44,Sep,0,40000.0,1,0.0,40000.0,20000.0
IMPERIAL LAWNS INC,FAIRFIELD,NJ,7004,SANTANDER BANK NATL ASSOC,DE,36,1,0,0,1,1,1,0,56,Apr,0,5000.0,1,0.0,5000.0,2500.0
"METAL WORLD, INC. DBA TRAVEL P",BOONTON,NJ,7005,CAPITAL ONE NATL ASSOC,VA,84,1,0,0,1,1,0,0,54,Jan,0,25000.0,1,0.0,25000.0,12500.0
EXECUTIVE CAR BUYING SERVICE I,CEDAR GROVE,NJ,7009,"PNC BANK, NATIONAL ASSOCIATION",PA,60,3,0,0,0,0,1,0,0,Aug,0,28200.0,1,0.0,25000.0,12500.0
COMPOUNDING ENGINEERING SOLUTI,CLIFTON,NJ,7011,BANK OF AMERICA NATL ASSOC,RI,48,9,0,0,9,1,1,0,31,Aug,0,108082.0,1,0.0,100000.0,50000.0
YANG PYUNG CORP,FORT LEE,NJ,7024,BANK OF AMERICA NATL ASSOC,RI,21,3,0,1,3,2,1,0,72,Jul,0,50000.0,0,45827.0,50000.0,25000.0
PRO CHECK,SOUTH HACKENSACK (TOWNSHIP OF),NJ,7026,BANK OF AMERICA NATL ASSOC,RI,82,12,0,3,12,1,1,0,31,Sep,0,303502.0,1,0.0,200000.0,100000.0
